T1,T2,T3,T4,T5,T6,Species
1,1,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,1,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,1,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,0,0,0,SWTH
1,1,0,1,0,0,SWTH
1,0,0,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,1,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,0,0,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,1,SWTH
1,1,0,0,0,0,SWTH
1,0,0,1,0,1,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,0,1,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,1,1,0,1,SWTH
1,1,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,1,0,1,0,1,SWTH
1,0,0,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,1,0,0,1,BLPW
1,1,0,0,0,1,BLPW
1,0,0,0,0,1,BLPW
1,1,0,1,0,0,BLPW
1,0,0,1,1,1,BLPW
1,0,0,0,0,0,BLPW
1,0,0,1,0,0,BLPW
1,0,0,0,0,0,BLPW
1,0,0,1,0,0,BLPW
1,0,0,0,0,0,BLPW
1,1,1,1,0,0,BLPW
1,0,0,1,0,0,BLPW
1,0,0,0,0,0,BLPW
1,0,0,0,1,0,BLPW
1,0,0,0,0,1,BLPW
1,0,0,1,0,0,BLPW
1,1,1,0,0,1,BLPW
1,0,1,1,0,1,BLPW
1,0,0,1,0,1,BLPW
1,0,0,0,0,0,BLPW
1,0,1,0,0,0,BLPW
1,0,0,0,0,0,BLPW
1,0,0,0,0,0,BLPW
1,0,0,1,0,0,BLPW
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,1,1,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,1,GCTH
0,1,1,1,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,1,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,1,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,1,1,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,1,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,1,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,1,0,0,0,GCTH
0,1,0,0,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,1,1,0,0,GCTH
0,1,0,1,0,0,GCTH
0,1,1,1,0,0,GCTH
